character,dialog
Harry Potter,"Yes, Aunt Petunia."
Harry Potter,"Yes, Uncle Vernon."
Harry Potter,He's asleep!
Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
Harry Potter,Anytime.
Harry Potter,Ow!
Harry Potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
Harry Potter,"Will I have to wear that, too?"
Harry Potter,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.
Harry Potter,"Hey, give it back! It's mine!"
Harry Potter,Because there's no post on Sunday?
Harry Potter,Get off! Ahh!
Harry Potter,They're my letters! Let go of me!
Harry Potter,"Make a wish, Harry."
Harry Potter,I-I am.
Harry Potter,Thank you!
Harry Potter,"Excuse me, who are you?"
Harry Potter,"Sorry, no."
Harry Potter,Learned what?
Harry Potter,I-I'm a what?
Harry Potter,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
Harry Potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
Harry Potter,You knew? You knew all along and you never told me?
Harry Potter,Blown up? You told me my parents died in a car crash!
Harry Potter,Muggle?
Harry Potter,Okay.
Harry Potter,"First year students will require: three sets of work robes, one wand."
Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
Harry Potter,But you like a dragon?
Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
Harry Potter,"Oh, nice to meet you."
Harry Potter,Goodbye.
Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money."
Harry Potter,"Uh, Hagrid, what exactly are these things?"
Harry Potter,"What's in there, Hagrid?"
Harry Potter,I still need...a wand.
Harry Potter,Hello? Hello?
Harry Potter,"Sorry, but what's curious?"
Harry Potter,And...who owned that wand?
Harry Potter,Wow.
Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
Harry Potter,Maybe if you wrote it down?
Harry Potter,Voldemort?
Harry Potter,Me? Voldemort tried to kill...me?
Harry Potter,What happened to...to You-Know-Who?
Harry Potter,"Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?"
Harry Potter,"Excuse me, excuse me."
Harry Potter,"Excuse me, sir. Can you tell me where I might find Platform 9¾?"
Harry Potter,Muggles?
Harry Potter,Excuse me! C-could you tell me how to-
Harry Potter,"No, not at all."
Harry Potter,I'm Harry. Harry Potter.
Harry Potter,The what?
Harry Potter,Oh
Harry Potter,We'll take the lot!
Harry Potter,Bertie Bott's Every Flavour Beans?
Harry Potter,"These aren't real chocolate frogs, are they?"
Harry Potter,I got Dumbledore!
Harry Potter,"Hey, he's gone!"
Harry Potter,A little.
Harry Potter,Yeah!
Harry Potter,"Hey, Hagrid."
Harry Potter,"I think I can tell who the wrong sort are for myself, thanks."
Harry Potter,Ahh!
Harry Potter,"Nothing... nothing, I'm fine."
Harry Potter,Not Slytherin. Not Slytherin.
Harry Potter,Not Slytherin...anything but Slytherin.
Harry Potter,Wow.
Harry Potter,"Say, Percy, who's that teacher talking to Professor Quirrell?"
Harry Potter,What's he teach?
Harry Potter,I think she fancies you.
Harry Potter,We got lost.
Harry Potter,"I don't know, sir."
Harry Potter,"I don't know, sir."
Harry Potter,"Clearly, Hermione knows. Since it's a pity not to ask her."
Harry Potter,What's Seamus trying to do to that glass of water?
Harry Potter,Can I borrow this?  Thanks.
Harry Potter,"Hey, Ron, somebody broke into Gringotts, listen.  Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to."
Harry Potter,Wow.
Harry Potter,Neville!
Harry Potter,"Give it here, Malfoy."
Harry Potter,"Give it here, Malfoy, or I'll knock you off your broom!"
Harry Potter,"A century, according to McGonagall."
Harry Potter,But I've never even played Quidditch. What if I make a fool of myself?
Harry Potter,I-I didn't know.
Harry Potter,Who doesn't?
Harry Potter,What's happening?
Harry Potter,Let's go this way.
Harry Potter,Does anyone feel like...we shouldn't be here?
Harry Potter,Let's go.
Harry Potter,Run!
Harry Potter,Quick! Let’s hide though that door!
Harry Potter,It's locked!
Harry Potter,And for good reason.
Harry Potter,Guarding something?
Harry Potter,I think so. What are those?
Harry Potter,What is that?
Harry Potter,I like this ball.
Harry Potter,What do I do with it?
Harry Potter,Whoa.
Harry Potter,"I think we're going to need another feather over here, Professor."
Harry Potter,I think she heard you.
Harry Potter,Where's Hermione?
Harry Potter,How could a troll get in?
Harry Potter,Hermione! She doesn't know!
Harry Potter,It’s going into the Girl's Bathroom!
Harry Potter,"Hermione, move!"
Harry Potter,"Whooa! Whoa, whoa!"
Harry Potter,"Whoa, whoa whoa!"
Harry Potter,Do something!
Harry Potter,Anything! Hurry up!
Harry Potter,I don't think so. Just knocked out.  Ew. Troll bogies.
Harry Potter,"Well, what it is..."
Harry Potter,Good for you to get us out of trouble like that.
Harry Potter,"Mind you, she didn't need saving if you hadn't insulted her."
Harry Potter,I'm not hungry.
Harry Potter,That explains the blood.
Harry Potter,"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping."
Harry Potter,"The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret."
Harry Potter,That's what the dog's guarding. That's what Snape wants.
Harry Potter,But I-I never get mail.
Harry Potter,It's a broomstick!
Harry Potter,But who...?
Harry Potter,A little.
Harry Potter,What happened?
Harry Potter,Yes!  Whoa!
Harry Potter,Yes!
Harry Potter,Whoa! Whooa!
Harry Potter,Who knows? Why was he trying to get past that three-headed dog on Halloween?
Harry Potter,Yes?
Harry Potter,"But, Hagrid, whatever Fluffy's guarding, Snape's trying to steal it."
Harry Potter,Exactly.
Harry Potter,Nicholas Flamel?
Harry Potter,Nicholas Flamel.  Who's Nicholas Flamel?
